id,title,published_at,url,comments_count,positive_reactions_count,tag_list,user.username
2770243,🚀 Pulumi AWS Provider 7.0: Multi-Region AWS IaC & IAM Role Chaining,2025-08-12T15:41:29Z,https://dev.to/pulumi/pulumi-aws-provider-70-multi-region-aws-iac-iam-role-chaining-52be,0,4,"['aws', 'devops', 'devsecops', 'python']",pulumidev
2770263,Top 7 Featured DEV Posts of the Week,2025-08-12T16:00:30Z,https://dev.to/devteam/top-7-featured-dev-posts-of-the-week-f0f,9,29,"['top7', 'discuss']",jess
2770332,Your Toddler's First Dev Environment in 10 Minutes,2025-08-12T16:43:10Z,https://dev.to/meimakes/your-toddlers-first-dev-environment-in-10-minutes-3fpc,6,10,"['webdev', 'beginners', 'ai', 'productivity']",meimakes
2767816,Laravel Modular [anotações],2025-08-12T13:13:41Z,https://dev.to/clintonrocha98/laravel-modular-anotacoes-56ai,2,46,"['braziliandevs', 'laravel', 'programming', 'webdev']",clintonrocha98
2760635,Svelte + Flexmonster Pivot: Building an Interactive Dashboard of World Happiness,2025-08-12T09:17:52Z,https://dev.to/daria_filozop_bfe6aa68940/svelte-flexmonster-pivot-pivot-building-an-interactive-dashboard-of-world-happiness-5344,1,26,"['frontend', 'svelte', 'analytics', 'webdev']",daria_filozop_bfe6aa68940
2770442,How Junior and Senior Developers Use Git: A Story of Two Mindsets,2025-08-12T18:39:09Z,https://dev.to/er-raj-aryan/how-junior-and-senior-developers-use-git-a-story-of-two-mindsets-2g4j,2,1,"['git', 'programming', 'javascript', 'webdev']",er-raj-aryan
2770112,Day 63: When Constraints Force Clarity,2025-08-12T14:48:04Z,https://dev.to/casperday11/day-63-when-constraints-force-clarity-4h9m,0,5,"['webdev', 'programming', 'beginners', 'productivity']",casperday11
2769731,Building branchyard: How I Learned to Stop Worrying and Love Git Worktrees,2025-08-12T12:13:37Z,https://dev.to/sivarampg/building-branchyard-how-i-learned-to-stop-worrying-and-love-git-worktrees-3baf,0,5,"['git', 'ai', 'webdev', 'programming']",sivarampg
2761596,Making New Languages Click with LLMs,2025-08-12T07:11:00Z,https://dev.to/puritanic/making-new-languages-click-with-llms-20e5,0,0,"['programming', 'ai', 'llm', 'productivity']",puritanic
2768845,Day 62: When Everything Goes Wrong But You Keep Going Anyway,2025-08-12T01:38:02Z,https://dev.to/casperday11/day-62-when-everything-goes-wrong-but-you-keep-going-anyway-4fe1,6,22,"['webdev', 'programming', 'ai', 'productivity']",casperday11
2759871,Thinking Clearly in Code: What Works for Me,2025-08-11T08:52:21Z,https://dev.to/puritanic/thinking-clearly-in-code-what-works-for-me-44ao,5,4,"['webdev', 'programming', 'productivity']",puritanic
2750835,Is Vibe Coding Dead? The Uncomfortable Truth About AI Agents and Developer Productivity,2025-08-04T09:37:42Z,https://dev.to/masood_akhtarvaheed_726d/is-vibe-coding-dead-the-uncomfortable-truth-about-ai-agents-and-developer-productivity-4kl0,0,2,"['ai', 'softwaredevelopment', 'softwareengineering']",masood_akhtarvaheed_726d
2766320,Best Advice For A New Mac,2025-08-10T19:01:58Z,https://dev.to/mileswk/best-advice-for-a-new-mac-4cnf,7,5,"['discuss', 'webdev', 'music', 'watercooler']",mileswk
2746412,Programming Is Becoming Prompting,2025-08-01T15:24:47Z,https://dev.to/holasoymalva/programming-is-becoming-prompting-2odn,49,102,"['ai', 'programming', 'python', 'discuss']",holasoymalva
2751581,How I’m Using AI (as an AI Skeptic),2025-08-04T15:11:19Z,https://dev.to/kathryngrayson/how-im-using-ai-as-an-ai-skeptic-3j5m,25,77,"['discuss', 'productivity', 'ai']",kathryngrayson
2749266,11 Months as a Self-Taught Developer – What Have I Learned?,2025-08-03T10:43:56Z,https://dev.to/cristea_theodora_6200140b/11-months-as-a-self-taught-developer-what-have-i-learned-g8p,43,89,"['beginners', 'programming', 'webdev', 'discuss']",cristea_theodora_6200140b
2758593,Congrats to the AssemblyAI Voice Agents Challenge Winners!,2025-08-07T16:37:17Z,https://dev.to/devteam/congrats-to-the-assemblyai-voice-agents-challenge-winners-1ppk,23,101,"['devchallenge', 'assemblyaichallenge', 'ai', 'api']",jess
2754085,Top 7 Featured DEV Posts of the Week,2025-08-05T17:10:27Z,https://dev.to/devteam/top-7-featured-dev-posts-of-the-week-4pmf,6,46,"['top7', 'discuss']",jess
2758599,How to Run Your Own OpenAI GPT OSS Server for Fun and Profit,2025-08-07T16:40:20Z,https://dev.to/pullflow/how-to-run-your-own-openai-gpt-oss-server-for-fun-and-profit-1amj,7,21,"['productivity', 'beginners', 'tutorial', 'chatgpt']",zak_mandhro
2760555,From Dev.to Posts to Running a Startup,2025-08-08T15:43:45Z,https://dev.to/saminarp/from-devto-posts-to-running-a-startup-2np0,30,71,"['startup', 'productivity', 'programming']",saminarp
2756639,Claude Code vs Warp.dev vs Jetbrains Junie,2025-08-07T14:24:25Z,https://dev.to/wynandpieters/claude-code-vs-warpdev-vs-jetbrains-junie-5484,2,22,"['ai', 'programming', 'vibecoding', 'tooling']",wynandpieters
2729716,Introducing the dev.to MCP server,2025-07-29T03:55:35Z,https://dev.to/nickytonline/introducing-the-devto-mcp-server-42jg,23,71,"['mcp', 'agenticai', 'devto', 'ai']",nickytonline
2760097,GPT-5 is overrated but still good,2025-08-08T12:01:49Z,https://dev.to/kwnaidoo/gpt-5-is-overrated-but-still-good-4lch,4,19,"['programming', 'ai', 'productivity', 'news']",kwnaidoo
2760867,GPT-5 Is Here: What It Really Means for Junior Developers (Like Me),2025-08-08T19:35:42Z,https://dev.to/talaamm/gpt-5-is-here-what-it-really-means-for-junior-developers-like-me-591k,5,23,"['ai', 'chatgpt', 'programming', 'webdev']",talaamm
2722576,Stop Skimming Documentation,2025-07-25T14:01:35Z,https://dev.to/kurealnum/stop-skimming-documentation-mbk,20,118,"['documentation', 'programming', 'productivity', 'learning']",kurealnum
